datetime,open,close,high,low,volume,turnover,amplitude,pricelimit,change,turnoverratio
2021-10-20,29.01,27.63,30.13,27.56,327472,951876992.0,9.92,6.68,1.73,63.94
2021-10-21,25.15,27.99,28.8,25.14,247389,662270560.0,13.25,1.3,0.36,48.3
2021-10-22,27.0,25.02,27.58,25.02,177348,467819664.0,9.15,-10.61,-2.97,34.63
2021-10-25,26.0,30.02,30.02,25.6,188057,544530960.0,17.67,19.98,5.0,36.72
2021-10-26,32.65,29.1,33.5,28.88,271966,840096624.0,15.39,-3.06,-0.92,53.1
2021-10-27,29.01,29.8,31.98,28.95,216357,658165088.0,10.41,2.41,0.7,42.25
2021-10-28,29.1,29.95,32.31,28.3,218361,667493648.0,13.46,0.5,0.15,42.64
2021-10-29,28.5,29.0,29.28,27.03,186620,527310976.0,7.51,-3.17,-0.95,36.44
2021-11-01,28.72,34.8,34.8,28.18,235614,743337328.0,22.83,20.0,5.8,46.01
2021-11-02,33.2,33.9,35.0,32.5,235356,792320016.0,7.18,-2.59,-0.9,45.96
2021-11-03,33.4,36.3,37.2,32.18,240760,840928640.0,14.81,7.08,2.4,47.01
2021-11-04,35.3,34.58,38.79,34.54,213362,772981536.0,11.71,-4.74,-1.72,41.66
2021-11-05,33.03,33.8,35.74,32.68,168502,570227408.0,8.85,-2.26,-0.78,32.9
2021-11-08,32.9,35.09,36.5,32.88,168122,588247392.0,10.71,3.82,1.29,32.83
2021-11-09,34.86,34.23,36.35,33.37,141967,489226624.0,8.49,-2.45,-0.86,27.72
2021-11-10,33.21,32.99,33.5,31.42,138931,452832560.0,6.08,-3.62,-1.24,27.13
2021-11-11,32.69,31.98,33.78,31.7,142556,464733392.0,6.3,-3.06,-1.01,27.84
2021-11-12,31.36,33.62,33.96,31.36,169620,560472608.0,8.13,5.13,1.64,33.12
2021-11-15,33.47,31.98,33.8,31.66,123084,399367952.0,6.37,-4.88,-1.64,24.03
2021-11-16,32.3,29.61,32.3,29.0,122101,366505440.0,10.32,-7.41,-2.37,23.84
2021-11-17,29.42,30.65,30.85,29.2,87794,265479879.0,5.57,3.51,1.04,17.14
2021-11-18,30.21,30.75,31.54,29.8,84178,258883550.0,5.68,0.33,0.1,16.44
2021-11-19,30.78,32.82,33.33,30.48,140093,450456416.0,9.27,6.73,2.07,27.35
2021-11-22,32.8,32.93,33.57,32.0,105356,347619792.0,4.78,0.34,0.11,20.57
2021-11-23,32.63,32.61,34.55,32.46,88505,293440672.0,6.35,-0.97,-0.32,17.28
2021-11-24,33.49,31.53,33.5,31.38,88336,282855232.0,6.5,-3.31,-1.08,17.25
2021-11-25,31.0,31.15,31.79,30.8,56000,174653905.0,3.14,-1.21,-0.38,10.93
2021-11-26,30.89,30.72,31.2,30.07,51874,158971247.0,3.63,-1.38,-0.43,10.13
2021-11-29,30.1,31.4,32.5,29.86,77616,244030372.0,8.59,2.21,0.68,15.16
2021-11-30,31.55,32.03,32.95,31.55,98385,316673376.0,4.46,2.01,0.63,19.21
2021-12-01,32.02,33.16,33.98,32.0,94548,310514768.0,6.18,3.53,1.13,18.46
2021-12-02,33.0,32.09,33.17,31.8,67305,218405404.0,4.13,-3.23,-1.07,13.14
2021-12-03,31.69,31.66,32.33,31.06,51264,162244540.0,3.96,-1.34,-0.43,10.01
2021-12-06,31.61,29.48,32.09,29.38,79236,239016050.0,8.56,-6.89,-2.18,15.47
2021-12-07,29.16,28.12,29.71,27.68,54058,154116370.0,6.89,-4.61,-1.36,10.56
2021-12-08,28.23,29.77,30.8,28.23,62235,184272055.0,9.14,5.87,1.65,12.15
2021-12-09,29.61,29.28,30.51,29.26,48252,143224778.0,4.2,-1.65,-0.49,9.42
2021-12-10,29.16,28.99,29.36,28.79,31634,91685173.0,1.95,-0.99,-0.29,6.18
2021-12-13,28.8,29.45,29.46,28.4,45348,131450358.0,3.66,1.59,0.46,8.85
2021-12-14,29.5,29.6,29.85,28.7,52182,153590720.0,3.9,0.51,0.15,10.19
2021-12-15,29.42,29.88,30.35,29.21,42386,126060111.0,3.85,0.95,0.28,8.28
2021-12-16,29.6,29.65,30.18,29.25,37313,110194427.0,3.11,-0.77,-0.23,7.29
2021-12-17,30.5,30.4,31.88,29.81,107093,330745600.0,6.98,2.53,0.75,20.91
2021-12-20,29.0,27.65,29.32,27.48,76759,215746278.0,6.05,-9.05,-2.75,14.99
2021-12-21,27.12,27.23,27.8,27.0,37813,103699451.0,2.89,-1.52,-0.42,7.38
2021-12-22,27.31,27.13,27.75,27.09,29199,79770162.0,2.42,-0.37,-0.1,5.7
2021-12-23,27.0,27.31,27.61,26.25,30259,82108774.0,5.01,0.66,0.18,5.91
2021-12-24,27.2,26.09,27.3,25.95,40725,107274284.0,4.94,-4.47,-1.22,7.95
2021-12-27,26.27,25.57,26.39,25.32,29258,75366229.0,4.1,-1.99,-0.52,5.71
2021-12-28,25.57,26.25,26.36,25.57,23560,61219534.0,3.09,2.66,0.68,4.6
2021-12-29,26.15,26.09,26.37,25.75,15313,39990434.0,2.36,-0.61,-0.16,2.99
2021-12-30,26.15,26.61,26.98,25.9,30136,80239416.0,4.14,1.99,0.52,5.88
2021-12-31,26.62,26.48,27.14,26.46,21633,57973308.0,2.56,-0.49,-0.13,4.22
2022-01-04,26.36,26.74,26.76,26.27,17654,46825356.0,1.85,0.98,0.26,3.45
2022-01-05,27.2,27.05,28.3,26.66,47834,130548704.0,6.13,1.16,0.31,9.34
2022-01-06,26.21,26.88,27.39,25.6,34078,90847486.0,6.62,-0.63,-0.17,6.65
2022-01-07,26.3,25.2,26.59,24.93,54746,140816181.0,6.18,-6.25,-1.68,10.14
2022-01-10,24.91,25.23,25.5,24.21,22964,57366489.0,5.12,0.12,0.03,4.25
2022-01-11,25.3,25.33,25.88,24.83,25808,65806497.0,4.16,0.4,0.1,4.78
2022-01-12,25.6,26.24,26.46,25.25,27873,72330006.0,4.78,3.59,0.91,5.16
2022-01-13,26.15,25.84,26.51,25.8,20325,52985510.0,2.71,-1.52,-0.4,3.76
2022-01-14,25.71,25.26,26.2,25.15,24729,63049776.0,4.06,-2.24,-0.58,4.58
2022-01-17,25.0,25.84,26.1,25.0,27513,70530904.0,4.35,2.3,0.58,5.09
2022-01-18,25.79,25.28,26.92,25.23,34922,90834870.0,6.54,-2.17,-0.56,6.47
2022-01-19,25.0,25.62,25.87,25.0,24813,63164834.0,3.44,1.34,0.34,4.59
2022-01-20,25.26,23.82,25.58,23.72,40681,99359142.0,7.26,-7.03,-1.8,7.53
2022-01-21,23.65,23.59,24.19,23.34,18808,44546774.0,3.57,-0.97,-0.23,3.48
2022-01-24,23.8,24.21,24.44,23.53,18805,45406698.0,3.86,2.63,0.62,3.48
2022-01-25,24.6,23.02,25.39,22.96,33706,81196068.0,10.04,-4.92,-1.19,6.24
