datetime,open,close,high,low,volume,turnover,amplitude,pricelimit,change,turnoverratio
2021-03-25,8.63,8.38,8.63,8.38,111126,94291476.0,2.89,-3.01,-0.26,5.37
2021-03-26,8.36,8.38,8.51,8.22,109925,91831780.0,3.46,0.0,0.0,5.31
2021-03-29,8.34,8.16,8.35,8.13,102179,84193921.0,2.63,-2.63,-0.22,4.94
2021-03-30,8.17,8.57,8.79,8.11,187404,159376345.0,8.33,5.02,0.41,9.05
2021-03-31,8.55,9.12,9.43,8.3,382894,346910336.0,13.19,6.42,0.55,18.5
2021-04-01,8.86,8.9,8.94,8.63,254789,223196617.0,3.4,-2.41,-0.22,12.31
2021-04-02,8.79,9.06,9.27,8.72,230685,208503764.0,6.18,1.8,0.16,11.14
2021-04-06,8.97,9.35,9.65,8.86,262078,241848260.0,8.72,3.2,0.29,12.66
2021-04-07,9.31,10.29,10.29,9.16,310126,301650240.0,12.09,10.05,0.94,14.98
2021-04-08,11.28,10.2,11.32,10.08,413743,451065904.0,12.05,-0.87,-0.09,19.99
2021-04-09,10.45,9.5,10.69,9.2,580322,578027680.0,14.61,-6.86,-0.7,28.03
2021-04-12,9.23,9.56,9.88,9.02,383136,361110016.0,9.05,0.63,0.06,18.51
2021-04-13,9.35,8.95,9.41,8.9,273509,248953561.0,5.33,-6.38,-0.61,13.21
2021-04-14,8.83,9.06,9.18,8.8,165006,148504357.0,4.25,1.23,0.11,7.97
2021-04-15,9.0,8.64,9.0,8.63,171957,150044300.0,4.08,-4.64,-0.42,8.31
2021-04-16,8.67,8.7,8.78,8.63,118609,103161723.0,1.74,0.69,0.06,5.73
2021-04-19,8.67,8.75,8.83,8.66,120188,105157546.0,1.95,0.57,0.05,5.81
2021-04-20,8.98,9.04,9.59,8.98,241128,220463572.0,6.97,3.31,0.29,11.65
2021-04-21,8.92,9.14,9.38,8.9,184332,168366110.0,5.31,1.11,0.1,8.9
2021-04-22,9.16,9.1,9.17,8.91,150168,135244425.0,2.84,-0.44,-0.04,7.25
2021-04-23,9.03,8.74,9.08,8.71,134321,118460432.0,4.07,-3.96,-0.36,6.49
2021-04-26,8.62,8.36,8.75,8.35,134143,113387779.0,4.58,-4.35,-0.38,6.48
2021-04-27,8.4,8.06,8.41,8.06,104029,84799865.0,4.19,-3.59,-0.3,5.03
2021-04-28,8.01,8.18,8.18,8.0,67631,54805026.0,2.23,1.49,0.12,3.27
2021-04-29,8.12,8.09,8.22,8.06,56396,45831771.0,1.96,-1.1,-0.09,2.72
2021-04-30,8.08,7.77,8.12,7.73,97719,76796856.0,4.82,-3.96,-0.32,4.72
2021-05-06,7.8,7.85,7.93,7.8,53801,42324050.0,1.67,1.03,0.08,2.6
2021-05-07,7.85,7.9,7.94,7.81,55989,44143929.0,1.66,0.64,0.05,2.7
2021-05-10,7.92,7.7,7.95,7.64,89587,69105222.0,3.92,-2.53,-0.2,4.33
2021-05-11,7.68,7.79,7.8,7.62,54038,41722901.0,2.34,1.17,0.09,2.61
2021-05-12,7.72,7.82,7.82,7.69,50425,39135167.0,1.67,0.39,0.03,2.44
2021-05-13,7.77,7.9,8.09,7.72,82095,65110172.0,4.73,1.02,0.08,3.97
2021-05-14,7.91,8.06,8.09,7.9,70632,56740809.0,2.41,2.03,0.16,3.41
2021-05-17,8.02,7.99,8.06,7.91,48328,38534695.0,1.86,-0.87,-0.07,2.33
2021-05-18,8.0,7.92,8.0,7.86,40967,32387489.0,1.75,-0.88,-0.07,1.98
