datetime,open,close,high,low,volume,turnover,amplitude,pricelimit,change,turnoverratio,takeprofitratio,averagecost,ratio90low,raio90high,concentration90,raio70low,raio70high,concentration70
2023-02-15,10.28,10.17,10.29,10.1,84576,86028929.0,1.85,-1.07,-0.11,0.82,0.2679425837321178,10.2,10.13,10.26,0.006375674350171691,10.16,10.24,0.003921568627450984
2023-02-16,10.18,10.08,10.41,9.99,137869,141046384.0,4.13,-0.88,-0.09,1.34,0.07637989522856023,10.19,10.07,10.32,0.012260912211868563,10.12,10.26,0.006869479882237428
2023-02-17,10.09,10.28,10.41,10.0,188535,193666524.0,4.07,1.98,0.2,1.84,0.866998499237221,10.2,10.07,10.33,0.012745098039215677,10.12,10.28,0.007843137254901881
2023-02-20,10.28,10.26,10.35,10.12,116829,119189629.0,2.24,-0.19,-0.02,1.14,0.7826334227992652,10.21,10.07,10.33,0.012745098039215677,10.13,10.28,0.007349338559529572
2023-02-21,10.26,10.32,10.38,10.23,93007,95801430.0,1.46,0.58,0.06,0.91,0.9172803030012601,10.23,10.08,10.34,0.012732615083251703,10.14,10.3,0.007827788649706464
2023-02-22,10.28,10.3,10.37,10.24,79070,81461721.0,1.26,-0.19,-0.02,0.77,0.8170640769557199,10.24,10.09,10.34,0.012236906510034264,10.15,10.31,0.007820136852394924
2023-02-23,10.35,10.17,10.35,10.12,85212,87071342.0,2.23,-1.26,-0.13,0.83,0.22514491279889437,10.24,10.09,10.34,0.012236906510034264,10.15,10.31,0.007820136852394924
2023-02-24,10.17,10.16,10.22,10.1,59118,60020771.0,1.18,-0.1,-0.01,0.58,0.2182998864838282,10.23,10.1,10.34,0.011741682974559698,10.15,10.31,0.007820136852394924
2023-02-27,10.21,10.01,10.23,9.95,85684,86045794.0,2.76,-1.48,-0.15,0.83,0.0112223274612667,10.22,10.06,10.33,0.013241785188818115,10.13,10.3,0.008321096426823296
2023-02-28,9.99,10.33,10.33,9.99,129560,132443438.0,3.4,3.2,0.32,1.26,0.9564344816188848,10.21,10.06,10.33,0.013241785188818115,10.12,10.3,0.008814887365328096
2023-03-01,10.34,10.27,10.4,10.22,83896,86177781.0,1.74,-0.58,-0.06,0.82,0.7097617807338329,10.22,10.06,10.34,0.013725490196078488,10.12,10.31,0.009300048947626016
2023-03-02,10.28,10.19,10.3,10.18,62641,64046846.0,1.17,-0.78,-0.08,0.61,0.38663541251411215,10.22,10.06,10.34,0.013725490196078488,10.13,10.31,0.008806262230919753
2023-03-03,10.23,10.22,10.31,10.16,64777,66298151.0,1.47,0.29,0.03,0.63,0.4990793370924192,10.23,10.07,10.34,0.013228809407153425,10.13,10.3,0.008321096426823296
2023-03-06,10.25,10.36,10.42,10.19,109089,112842554.0,2.25,1.37,0.14,1.06,0.9799629028492167,10.23,10.07,10.34,0.013228809407153425,10.13,10.31,0.008806262230919753
2023-03-07,10.39,10.42,10.86,10.35,188941,200229092.0,4.92,0.58,0.06,1.84,0.8798830218274389,10.25,10.08,10.6,0.025145067698259166,10.14,10.36,0.010731707317073201
2023-03-08,10.39,10.33,10.44,10.26,102897,106340406.0,1.73,-0.86,-0.09,1.0,0.7764732753674187,10.26,10.08,10.59,0.024673439767779377,10.15,10.37,0.01072124756335286
2023-03-09,10.4,10.36,10.66,10.34,101185,105886457.0,3.1,0.29,0.03,0.99,0.7880052154842097,10.27,10.08,10.59,0.024673439767779377,10.15,10.43,0.013605442176870805
2023-03-10,10.4,10.17,10.48,10.11,92539,94410955.0,3.57,-1.83,-0.19,0.9,0.1985858605419202,10.27,10.09,10.58,0.023705853894533148,10.16,10.42,0.012633624878522829
2023-03-13,10.16,10.25,10.25,10.02,87239,88661114.0,2.26,0.79,0.08,0.85,0.4759132611642367,10.26,10.08,10.58,0.02420135527589545,10.15,10.41,0.012645914396887236
2023-03-14,10.23,10.07,10.37,10.06,96972,98761095.0,3.02,-1.76,-0.18,0.94,0.039446373680566825,10.26,10.09,10.57,0.02323330106485957,10.15,10.4,0.012165450121654504
2023-03-15,10.17,10.33,10.45,10.14,142606,147433740.0,3.08,2.58,0.26,1.39,0.7530071092580141,10.26,10.09,10.56,0.022760290556900674,10.15,10.39,0.01168451801363195
