datetime,open,close,high,low,volume,turnover,amplitude,pricelimit,change,turnoverratio,takeprofitratio,averagecost,ratio90low,raio90high,concentration90,raio70low,raio70high,concentration70
2023-02-15,8.98,9.04,9.17,8.95,167937,151934102.0,2.46,1.23,0.11,1.15,0.47360063517245476,9.05,8.98,9.13,0.008282716731087816,9.0,9.1,0.0055248618784530185
2023-02-16,9.09,8.92,9.2,8.8,219274,198452452.0,4.42,-1.33,-0.12,1.51,0.11017968600982517,9.03,8.88,9.13,0.013881177123820098,8.95,9.1,0.008310249307479242
2023-02-17,8.92,8.9,8.96,8.74,122438,108565164.0,2.47,-0.22,-0.02,0.84,0.26036517377410767,9.0,8.82,9.13,0.01727019498607245,8.87,9.09,0.012249443207126886
2023-02-20,8.9,9.41,9.56,8.78,362411,336071565.0,8.76,5.73,0.51,2.49,0.9712244916370931,9.04,8.84,9.37,0.029104887424492097,8.89,9.23,0.018763796909492265
2023-02-21,9.42,9.29,9.45,9.24,179541,167007845.0,2.23,-1.28,-0.12,1.23,0.7544910662436645,9.08,8.84,9.4,0.030701754385964935,8.91,9.34,0.023561643835616423
2023-02-22,9.22,9.27,9.35,9.21,96993,89950828.0,1.51,-0.22,-0.02,0.67,0.7245264920783223,9.1,8.85,9.4,0.030136986301369902,8.92,9.34,0.023001095290251915
2023-02-23,9.29,9.2,9.35,9.16,107469,99431489.0,2.05,-0.76,-0.07,0.74,0.5668572826760229,9.13,8.85,9.39,0.029605263157894784,8.93,9.33,0.02190580503833518
2023-02-24,9.18,9.15,9.21,9.09,74506,68197677.0,1.3,-0.54,-0.05,0.51,0.5262761393956683,9.14,8.86,9.39,0.029041095890411022,8.94,9.32,0.020810514786418446
2023-02-27,9.12,9.01,9.15,8.98,79206,71678498.0,1.86,-1.53,-0.14,0.54,0.24922068875326903,9.13,8.86,9.39,0.029041095890411022,8.95,9.32,0.02025177887246848
2023-02-28,8.98,9.05,9.07,8.95,62703,56572827.0,1.33,0.44,0.04,0.43,0.3749522089093378,9.11,8.86,9.38,0.028508771929824633,8.96,9.32,0.01969365426695839
2023-03-01,9.05,9.13,9.14,9.0,78654,71342184.0,1.55,0.88,0.08,0.54,0.5632777241761538,9.1,8.86,9.38,0.028508771929824633,8.96,9.31,0.019157088122605342
2023-03-02,9.14,8.99,9.17,8.99,80077,72546315.0,1.97,-1.53,-0.14,0.55,0.19022861600196672,9.1,8.87,9.38,0.027945205479452045,8.97,9.31,0.018599562363238502
2023-03-03,8.96,9.24,9.28,8.96,161912,148329460.0,3.56,2.78,0.25,1.11,0.7519003226281068,9.1,8.87,9.37,0.027412280701754384,8.98,9.3,0.017505470459518613
2023-03-06,9.23,9.11,9.27,9.07,97951,89494135.0,2.16,-1.41,-0.13,0.67,0.5128541799624651,9.11,8.87,9.37,0.027412280701754384,8.99,9.29,0.016411378555798724
2023-03-07,9.15,9.07,9.33,9.05,185659,171112014.0,3.07,-0.44,-0.04,1.27,0.3574583956938452,9.12,8.88,9.37,0.02684931506849316,9.0,9.29,0.015855658829961778
2023-03-08,9.04,9.14,9.17,8.93,103714,93741118.0,2.65,0.77,0.07,0.71,0.5837816125426555,9.12,8.88,9.36,0.026315789473684133,9.0,9.28,0.015317286652078837
2023-03-09,9.13,8.98,9.14,8.97,92412,83485172.0,1.86,-1.75,-0.16,0.63,0.12661850756200738,9.11,8.89,9.36,0.025753424657534184,9.0,9.28,0.015317286652078837
2023-03-10,8.96,8.93,9.24,8.91,148109,134301791.0,3.67,-0.56,-0.05,1.02,0.07835992892687352,9.1,8.89,9.36,0.025753424657534184,9.0,9.27,0.014778325123152686
