datetime,open,close,high,low,volume,turnover,amplitude,pricelimit,change,turnoverratio,takeprofitratio,averagecost,ratio90low,raio90high,concentration90,raio70low,raio70high,concentration70
2023-02-15,13.4,13.52,13.59,13.3,357090,481292519.05,2.16,0.52,0.07,1.82,0.8594354374126171,13.45,13.35,13.55,0.007434944237918188,13.38,13.51,0.004834510970621078
2023-02-16,13.4,13.62,14.18,13.4,842822,1163046607.98,5.77,0.74,0.1,4.3,0.4567662917369633,13.64,13.39,14.01,0.02262773722627741,13.45,13.88,0.015733626051957543
2023-02-17,13.55,13.21,13.75,13.21,499900,671738406.52,3.96,-3.01,-0.41,2.55,0.0,13.56,13.34,13.98,0.023426061493411376,13.41,13.83,0.015418502202643168
2023-02-20,13.21,13.82,13.82,13.2,597038,813875197.8,4.69,4.62,0.61,3.05,0.8897228011361704,13.54,13.33,13.94,0.022368903557022347,13.4,13.77,0.013617960986382077
2023-02-21,13.75,13.69,13.93,13.58,408818,561064207.99,2.53,-0.94,-0.13,2.09,0.6837207834492763,13.59,13.34,13.92,0.021276595744680854,13.41,13.8,0.01433296582138915
2023-02-22,13.56,13.57,13.71,13.5,237298,322671872.19,1.53,-0.88,-0.12,1.21,0.464747582919281,13.59,13.34,13.91,0.02091743119266056,13.42,13.79,0.013597941933112798
2023-02-23,13.62,13.37,13.67,13.2,339434,454649736.74,3.46,-1.47,-0.2,1.73,0.10367549137964854,13.57,13.33,13.9,0.02093279471171497,13.4,13.77,0.013617960986382077
2023-02-24,13.36,13.34,13.49,13.21,228631,305630790.76,2.09,-0.22,-0.03,1.17,0.09442378409725086,13.55,13.31,13.89,0.021323529411764713,13.38,13.76,0.01400147383935154
2023-02-27,13.54,14.0,14.1,13.45,886818,1234928505.89,4.87,4.95,0.66,4.53,0.9773696926521162,13.61,13.32,13.94,0.022743947175348535,13.4,13.82,0.015429831006612783
2023-02-28,14.28,14.5,14.78,14.19,1007879,1456281432.17,4.21,3.57,0.5,5.15,0.917842298345708,13.68,13.34,14.56,0.04371592587780718,13.43,14.4,0.03467168246159784
2023-03-01,14.95,15.87,15.95,14.8,1871547,2919482351.49,7.93,9.45,1.37,9.56,0.9967970371083614,13.88,13.37,15.62,0.07768721344880289,13.48,15.38,0.06588205193808368
2023-03-02,15.99,15.9,16.58,15.82,2056052,3337159047.0,4.79,0.19,0.03,10.5,0.7411024211629043,14.65,13.38,16.31,0.09856455003729908,13.54,16.13,0.08717015962645239
2023-03-03,15.75,15.65,16.02,15.42,1097347,1716485306.74,3.77,-1.57,-0.25,5.6,0.6528282903634279,15.26,13.4,16.29,0.09703641747858127,13.56,16.08,0.08494115835850159
2023-03-06,15.51,15.89,16.17,15.42,979756,1554096593.58,4.79,1.53,0.24,5.0,0.7569758225539136,15.45,13.4,16.29,0.09703641747858127,13.59,16.06,0.0834106870367268
2023-03-07,15.75,15.17,15.99,15.02,900064,1390983586.48,6.1,-4.53,-0.72,4.6,0.3894760562841564,15.47,13.43,16.26,0.09550828491986346,13.63,16.04,0.08105295544213995
2023-03-08,15.12,15.43,15.55,15.0,554079,849684926.53,3.63,1.71,0.26,2.83,0.5071717517816596,15.42,13.43,16.24,0.09481666485684294,13.65,16.01,0.07952365439606185
2023-03-09,15.37,15.69,15.88,15.3,615003,959667052.49,3.76,1.69,0.26,3.14,0.6698840768018278,15.47,13.43,16.24,0.09481666485684294,13.65,15.99,0.0788192730714024
