datetime,open,close,high,low,volume,turnover,amplitude,pricelimit,change,turnoverratio,takeprofitratio,averagecost,ratio90low,raio90high,concentration90,raio70low,raio70high,concentration70
2023-02-15,10.88,11.22,11.65,10.76,122126,137769336.0,8.26,4.08,0.44,16.42,0.611596,11.17,10.89,11.5,0.027244305493523868,10.98,11.39,0.018328118015198933
2023-02-16,11.29,10.76,11.3,10.69,75446,83112668.0,5.44,-4.1,-0.46,10.14,0.011686,11.09,10.83,11.45,0.02782764811490122,10.92,11.31,0.017543859649122754
2023-02-17,10.8,10.68,10.91,10.63,34796,37501605.0,2.6,-0.74,-0.08,4.68,0.009416,11.04,10.73,11.43,0.03158844765342964,10.81,11.28,0.02127659574468088
2023-02-20,10.65,11.14,11.54,10.65,100299,111683145.0,8.33,4.31,0.46,13.48,0.680893,11.05,10.74,11.41,0.030248306997742662,10.83,11.27,0.019909502262443497
2023-02-21,11.33,11.19,11.46,10.97,51883,57852649.0,4.4,0.45,0.05,6.98,0.678627,11.09,10.75,11.41,0.02978339350180506,10.85,11.3,0.020316027088036082
2023-02-22,11.19,11.14,11.34,10.92,40125,44771657.0,3.75,-0.45,-0.05,5.39,0.598051,11.1,10.76,11.39,0.028442437923250515,10.87,11.28,0.018510158013544022
2023-02-23,11.17,11.08,11.28,10.97,32551,36161985.0,2.78,-0.54,-0.06,4.38,0.453728,11.1,10.76,11.39,0.028442437923250515,10.88,11.27,0.017607223476297992
2023-02-24,11.08,11.02,11.15,10.92,23178,25526406.0,2.08,-0.54,-0.06,3.12,0.311974,11.09,10.77,11.38,0.027539503386004485,10.89,11.26,0.016704288939051962
2023-02-27,11.08,10.84,11.08,10.77,23145,25154047.0,2.81,-1.63,-0.18,3.11,0.099645,11.08,10.77,11.37,0.02710027100271001,10.89,11.26,0.016704288939051962
2023-02-28,10.97,10.8,10.98,10.64,29734,31922746.0,3.14,-0.37,-0.04,4.0,0.097755,11.06,10.76,11.37,0.027564392227745114,10.85,11.25,0.018099547511312153
2023-03-01,10.85,11.12,11.36,10.74,70641,78326744.0,5.74,2.96,0.32,9.5,0.628351,11.06,10.77,11.35,0.026220614828209764,10.86,11.24,0.01719457013574656
2023-03-02,11.07,11.2,11.33,10.99,74979,83758519.0,3.06,0.72,0.08,10.08,0.772315,11.09,10.78,11.33,0.024875621890547216,10.88,11.24,0.016274864376130172
2023-03-03,11.1,10.95,11.18,10.9,38770,42636314.0,2.5,-2.23,-0.25,5.21,0.21368,11.08,10.78,11.32,0.02443438914027145,10.89,11.23,0.015370705244122958
2023-03-06,10.94,10.71,10.94,10.7,32161,34642753.0,2.19,-2.19,-0.24,4.32,0.012979,11.06,10.77,11.32,0.024898143956541368,10.85,11.22,0.016764839148164894
2023-03-07,10.77,10.53,11.08,10.51,41558,44925485.0,5.32,-1.68,-0.18,5.59,0.000412,11.04,10.73,11.31,0.026315789473684216,10.82,11.21,0.017703132092600944
2023-03-08,10.47,10.79,10.97,10.47,25808,27720347.0,4.75,2.47,0.26,3.47,0.139607,11.03,10.69,11.31,0.028181818181818145,10.79,11.21,0.01909090909090909
2023-03-09,10.81,10.52,10.81,10.46,26654,28149421.0,3.24,-2.5,-0.27,3.58,0.003263,11.02,10.64,11.3,0.030082041932543303,10.76,11.2,0.020036429872495425
2023-03-10,10.46,10.15,10.47,10.12,31305,32035871.0,3.33,-3.52,-0.37,4.21,0.000597,11.0,10.38,11.3,0.04263210689915666,10.71,11.2,0.022502619790294272
2023-03-13,10.15,10.17,10.28,10.11,15304,15574360.0,1.67,0.2,0.02,2.06,0.010046,10.99,10.28,11.29,0.04697196994690283,10.67,11.2,0.024109478027037983
2023-03-14,10.16,10.03,10.19,9.82,22714,22674742.0,3.64,-1.38,-0.14,3.05,0.022883,10.97,10.16,11.29,0.05265857625422244,10.61,11.18,0.02649224883801876
2023-03-15,10.13,10.06,10.22,10.01,16871,17029915.0,2.09,0.3,0.03,2.27,0.031249,10.96,10.1,11.28,0.05513743558197483,10.42,11.18,0.035245219249742166
2023-03-16,10.0,9.86,10.04,9.84,15913,15790178.0,1.99,-1.99,-0.2,2.14,0.00165,10.95,10.03,11.28,0.0587861075068341,10.3,11.18,0.04116393719187965
2023-03-17,10.07,9.85,10.07,9.75,21562,21222085.0,3.25,-0.1,-0.01,2.9,0.006302,10.92,9.95,11.28,0.062454565567811884,10.18,11.18,0.04656131201105914
2023-03-20,9.87,9.78,9.89,9.71,12764,12492210.0,1.83,-0.71,-0.07,1.72,0.006971,10.92,9.91,11.29,0.06512912441170325,10.15,11.17,0.04763253819857591
