datetime,open,close,high,low,volume,turnover,amplitude,pricelimit,change,turnoverratio,takeprofitratio,averagecost,ratio90low,raio90high,concentration90,raio70low,raio70high,concentration70
2023-02-15,42.02,42.6,42.63,41.86,6923,29385163.0,1.84,1.91,0.8,0.72,0.997789,42.26,41.99,42.51,0.006153846153846107,42.08,42.43,0.004141521713406714
2023-02-16,42.3,41.16,42.77,40.71,8753,36639857.0,4.84,-3.38,-1.44,0.91,0.053588,42.08,41.14,42.49,0.016200712934088125,41.46,42.37,0.010885490975995275
2023-02-17,41.02,40.5,41.49,40.42,6060,24758125.0,2.6,-1.6,-0.66,0.63,0.004477,41.78,40.7,42.47,0.021237864077669873,40.91,42.31,0.016866921881514552
2023-02-20,40.55,40.82,40.97,40.28,4702,19092461.0,1.7,0.79,0.32,0.49,0.244045,41.47,40.53,42.44,0.022962303834331052,40.68,42.29,0.019336676913120895
2023-02-21,40.36,40.81,41.18,40.36,3656,14962935.0,2.01,-0.02,-0.01,0.38,0.285391,41.23,40.51,42.44,0.023168394216275614,40.65,42.25,0.019352268936952882
2023-02-22,40.83,40.8,41.41,40.56,6306,25758494.0,2.08,-0.02,-0.01,0.65,0.272221,41.08,40.53,42.4,0.02256854808036244,40.68,42.22,0.01854592439791331
2023-02-23,40.85,40.73,41.11,40.46,4402,17947011.0,1.59,-0.17,-0.07,0.46,0.206941,41.0,40.55,42.39,0.02216553829321309,40.66,42.17,0.018157393243278263
2023-02-24,41.15,41.32,42.2,41.0,8442,35094477.0,2.95,1.45,0.59,0.88,0.572426,41.17,40.56,42.37,0.021762528506063826,40.7,42.1,0.016953741154728436
2023-02-27,41.54,40.29,41.54,40.17,8026,32621682.0,3.32,-2.49,-1.03,0.83,0.00187,41.08,40.54,42.33,0.0216883198921901,40.68,42.04,0.016455349043269195
2023-02-28,40.56,40.79,41.15,40.32,5329,21700858.0,2.06,1.24,0.5,0.55,0.290692,41.01,40.52,42.32,0.021697457395041187,40.66,41.98,0.016046958467937713
2023-03-01,40.79,41.23,41.48,40.59,7048,29010553.0,2.18,1.08,0.44,0.73,0.64031,41.01,40.52,42.3,0.02149132972335184,40.68,41.91,0.015000739473072656
2023-03-02,41.25,40.66,41.58,40.65,6210,25479438.0,2.26,-1.38,-0.57,0.64,0.133654,41.03,40.54,42.28,0.021069931101325316,40.69,41.85,0.013953193378575451
2023-03-03,40.95,41.0,41.25,40.56,6070,24887160.0,1.7,0.84,0.34,0.63,0.492416,41.01,40.54,42.28,0.021069931101325316,40.69,41.78,0.013118639046994346
2023-03-06,41.0,41.52,41.68,40.71,6437,26579480.0,2.37,1.27,0.52,0.67,0.806973,41.03,40.55,42.26,0.02064853247929879,40.71,41.71,0.012068344942940007
2023-03-07,41.87,40.18,41.87,40.12,7144,29120220.0,4.21,-3.23,-1.34,0.74,0.000201,41.03,40.55,42.24,0.020409883977815492,40.71,41.67,0.011659018915149094
