trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate
20231221,36.71,37.77,36.19,37.52,36.86,0.66,1.7906,23034.97,85669.489,28.93,103.17,31.25,33.57,36.47,38.21,39.37,36.59,70.79
20231220,37.51,37.51,36.53,36.86,37.3,-0.44,-1.1796,12212.41,45030.631,28.93,103.17,31.25,33.57,36.47,38.21,39.37,36.54,54.7
20231219,37.25,37.86,36.61,37.3,37.16,0.14,0.3767,17637.82,65531.163,28.93,103.17,31.25,33.57,36.47,38.21,39.37,36.5,70.1
20231218,37.86,37.89,36.75,37.16,37.89,-0.73,-1.9266,22696.48,84515.758,28.93,103.17,31.25,32.99,35.89,38.21,39.37,36.43,70.63
20231215,37.48,38.88,37.32,37.89,37.34,0.55,1.473,27224.17,104178.919,28.93,103.17,31.25,32.99,35.89,38.21,39.37,36.34,79.53
20231214,37.37,37.7,37.03,37.34,37.37,-0.03,-0.0803,12367.39,46183.215,28.93,103.17,30.67,32.41,35.89,37.05,39.37,35.81,86.18
20231213,36.98,37.58,36.72,37.37,36.98,0.39,1.0546,9910.16,36861.133,28.93,103.17,30.67,32.41,35.89,37.05,39.37,35.74,87.19
20231212,37.32,37.49,36.81,36.98,37.0,-0.02,-0.0541,12235.16,45460.383,28.93,103.17,30.67,32.41,35.31,37.05,39.37,35.68,79.27
20231211,36.02,37.13,35.41,37.0,35.98,1.02,2.8349,18563.04,67900.806,28.93,103.17,30.67,32.41,35.31,37.05,39.37,35.61,81.85
20231208,35.57,36.16,35.54,35.98,35.84,0.14,0.3906,8250.42,29646.54,28.93,103.17,30.67,32.41,35.31,37.05,39.37,35.53,75.46
20231207,35.87,35.93,35.35,35.84,35.88,-0.04,-0.1115,11943.92,42588.063,28.93,103.17,30.67,32.41,35.31,37.05,39.37,35.48,57.84
20231206,35.9,35.93,35.33,35.88,36.1,-0.22,-0.6094,11628.06,41490.707,28.93,103.17,30.67,32.41,35.31,37.05,39.37,35.44,58.41
20231205,36.2,36.39,35.68,36.1,36.1,0.0,0.0,12873.37,46398.06,28.93,103.17,30.67,32.41,35.31,37.05,39.37,35.4,73.54
20231204,35.95,36.39,35.69,36.1,35.84,0.26,0.7254,13032.61,47078.645,28.93,103.17,30.67,32.41,35.31,37.05,39.37,35.37,73.28
20231201,36.2,36.43,35.7,35.84,36.2,-0.36,-0.9945,13907.62,50108.064,28.93,103.17,30.67,32.41,35.31,37.05,39.37,35.35,61.12
20231130,36.1,36.3,35.48,36.2,36.0,0.2,0.5556,20373.82,73078.455,28.93,103.17,30.67,31.83,35.31,37.05,39.37,35.33,72.98
20231129,35.5,36.3,35.01,36.0,34.9,1.1,3.1519,32602.12,116948.426,28.93,103.17,30.67,31.83,34.73,37.63,39.37,35.31,72.6
20231128,35.0,35.63,34.66,34.9,35.0,-0.1,-0.2857,12706.27,44641.068,28.93,103.17,30.67,31.83,34.73,37.63,39.37,35.29,51.83
20231127,34.23,35.38,34.23,35.0,34.79,0.21,0.6036,14998.95,52531.173,28.93,103.17,30.67,31.83,34.73,37.63,39.37,35.28,51.69
20231124,35.14,35.14,34.61,34.79,35.16,-0.37,-1.0523,10976.75,38223.453,28.93,103.17,30.67,31.83,34.73,37.63,39.37,35.28,51.58
20231123,34.86,35.3,34.54,35.16,35.08,0.08,0.2281,13819.3,48323.126,28.93,103.17,30.67,31.83,34.73,37.63,39.37,35.27,51.2
20231122,35.2,35.5,34.75,35.08,35.01,0.07,0.1999,16845.29,59068.002,28.93,103.17,30.67,31.83,34.73,37.63,39.37,35.27,50.73
20231121,36.15,36.15,34.79,35.01,36.15,-1.14,-3.1535,38008.84,134074.55,28.93,103.17,30.67,31.83,34.73,37.63,39.37,35.26,50.87
20231120,35.88,36.58,35.31,36.15,35.8,0.35,0.9777,41131.84,148602.277,28.93,103.17,30.09,31.83,34.73,37.63,39.95,35.24,69.17
